blog id,보석십자수,미니어처,펀치 니들,3d펜,3d프린터,가죽공예,가방 만들기,양모펠트,프랑스 자수,스크래치 북,DIY,LED조명,무드등,칼림바,오르골,발난로,우산,캡슐 세제,전자저울,산소포화도 측정기,소음 측정기,거리 측정기,온습도계,적외선 온도계,높이 측정기,타이머,유수분 측정기
chloeagit,,,,,,,,,,,,,2.8081567125236937,,,,3.435463374383891,3.628121399615002,,,,,,,,3.3645002931981094,
rjy0626,,,,,,,,,,,,,,,,,,,,,,,,,,,
1127ye,5.160916369483864,,,,,,,,,,2.0798317155509136,,,,,,,,,,,,,,,,
starule,0.0,,,3.682319748588572,,,,,,,0.0,,0.0,0.0,,,0.0,3.24354339444571,,,,,,,,,
luna0723,,,,,,4.350819162304257,,,,,,,,,,,,,,,,,,,,,
zza344,,,,,,,,,,,,,,,,,,2.1815259792735295,,,,,,,,,
didtks0590,,,,,,,,,,,,,,,,,,,,,,,,,,,
hgy6908,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,
jae2ee,4.438650026756407,,,,,,,,,,,,,,,,,,,,,,,,,,
alsl720,,,,,,,,,,,4.099173396662324,,3.7509794258267775,,,,,,,,,,,,,,
peach143,,,,,,,,,,,,,,,,,,,,,,,,,,,
ilook2u,,,,,,,,,,,,,3.0283661997279308,,,,,,,,,,,,,,
tjddk742,,,,,,,,,,,,,,,,,,,,,,,,,,,
cey1996,,,,,,,,,,,,,,,,,,,,,,,,,,,
07min25,,4.131123187655408,,,,,,,,,,,,,,,,,,,,,,,,,
pian_oka,,,,,,,,,,,,,,,,,,,,,,,,,,,
3210dptmej,,,,,,,,,,,,,,,,,,,,,,,,,,,
hoiyeji48,,,,,,,,,,,4.185707783887327,4.53092105838439,4.113524457520697,4.83230107383423,3.0079710508859643,4.360184485094062,5.596525069418025,,,,,,,,,,
honeypigmom_,,,,,,,,,,,4.125370705057177,,4.537972961557029,4.988583310765007,,,,,,,,,,,,,
xnaxim,,,,,,,,,,,,,,,,,,,,,,,,,,,
kyureegil,,,,,,,,,,,,,,,,,,,,,,,,,,,
heemk0731,,,,,,,,,,,,,,,,,3.900909736353012,,,,,,,,,,
bak0866,,,,,,,,,,,,,,,,,,,,,,,,,,,
hyebangee,0.0,,,,,,,,,,3.3274615432909807,,,,,,,,,,,,,,,,
aktf0910,,,,,,,,,,,,,,,3.2188717383364867,,,,,,,,,,,,
khlee5260,,,,,,,,,,,,,,,,,,,,,,,,,,,
threecolor_cat,,,,,,,,,,,2.9209764108794265,,,,,,4.3717745829818675,,,,,,,,,,
dk1983,,,,,,,,,,,,,,,,,,,,,,,,,,,
jhwood4736,,,,,,,4.257297083770631,,1.8943108369368367,,3.5545646911273026,,,,,,,,,,,,,,,,
googys,,,,,,,,,,,2.2493008606720553,3.7392516286515582,,4.008987230342464,,,,,,,,,,,,,
wmelon29,,,,,,,,,,,,,,,,,,,,,,,,,,,
jinjunghan_na,,,,,,,,,,,5.1022670013529625,,5.070902994858274,,,,5.081673306266366,,,,,,,,,,
mkil618,,,,,,,,,,,3.9796163523455235,,,,,,,,,,,,,,,,
meruya9876,,,,,,2.907213315467399,,,,,,,,,,,,,,,,,,,,,
delphine0327,5.044026174712218,,,,,,,,,,,5.046728060034762,,,,,,,,,,,,,,,
shin11109,,,,,,,,,,,,,,,,,,,,,,,,,,,
cool7927,0.0,0.0,,,,,,,,,0.0,,0.0,0.0,0.0,,0.0,,,,,,,,,0.0,
yibwa0912,,,,,,,,,,,,,4.435846218659752,,,,,,,,,,,,,,
heyji0303,,,,,,,,,,,,,,,,,,,,,,,,,,,
hwajung319,,,,,,2.699982684941278,,,,,,,3.7924820183704737,,,,,,,,,,,,,,
dioni_,,,,,,,,,,,,,,,,,,,,,,,,,,,
girlhj,4.902676172457089,,,,,,,,,,5.066026203877116,,0.0,,0.0,,,,,,,,,,,,
codms86,,,,,,,,,,,,,,,,,,,,,,,,,,,
ngfriend2002,,,,,,,,,,,,,,,,,,,,,,,,,,,
sosoo101,3.60358644542126,5.416432982978658,,,,,,,,,5.278311250013859,,,2.1474099925143295,,,,,,,,,,,,,
slow6441,,,,,,,,,,,1.9064862288930537,,,,,,,,,,,,,,,,
o_ogns07,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssb84351,,,,,,,,,,,,,4.415813898496923,,,,4.282475505053264,,,,,,,,,,
bsh9240,,,,,,,,,,,,,,,,,,,,,,,,,,,
april_record,,,,,,,,,,,,,,,,,,,,,,,,,,,
lovelnr1103,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,
alway0131,,,,,,,,,,,,,,,,,2.534699024871886,,,,,,,,,,
ys1104ys,,,,,,,,,,,,,,,,,,,,,,,,,,,
shining1984,,,,,,,,,,,4.3561398123954795,,5.328249095345727,4.749617997987942,0.0,,0.0,,,,,,,,,,
happycloud24,,,,,,,,,,,,,3.3965813269382137,,,,,,,,,,,,,,
ahah3242,,,,,,,,,,,3.0952509989196693,,0.0,,,,,,,,,,,,,,
oboist1123,3.691302661390382,,,,,,,,,,4.09162883488404,,6.764314689071311,,,,,,,,,,,,,,
rlatnals6426,,,,,,,,,,,3.8361248640055656,,,3.8459196125400963,,,,,,,,,,,,,
dlffldksk,,,,,,,,,,,,,,,,,,,,,,,,,,,
mintnbambi,,,,,,,,,,,,,,,,,,,,,,,,,,,
skawjd1112,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
cyber3578,3.742477751390372,,,,,,,,,,,,,,3.279491416994002,,,,,,,,,,,,
ktaru,,,,,,,,,,,,,,,,,3.5061705498204985,,,,,,,,,,
rilrastory,,,,,,,3.5007652227302346,,,,,,6.006284157265332,6.224649661943283,,,4.574313369905032,5.372788418876514,,,,,,,,,
jae2653,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,
greathead60,,,,,,,,,,,,4.003305037312386,3.9887203274624965,,,,,,,,,,,,,,
psj0914,,,,,,,,,,,,,,,,,,,,,,,,,,,
langlang12,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,
nwjoo98,,,,,,,,,,,,,,,,,,,,,,,,,,,
meertd,,,,,,,,,,,4.062453758558334,,,,,,,,,,,,,,,,
genesis0821,,,,,,,,,,,,,,,,,4.636183726424052,,,,,,,,,,
sunju914,,,,,,,,,,,4.055932220741737,,,,,,,,,,,,,,,,
polaris_yh,,4.064617701900707,,,,,,,,,,,3.0556472614129904,,0.0,0.0,0.0,,,,,,,,,,
chpc0313,,,,,,,,,,,,,,,,,,,,,,,,,,,
bijoubitna,,,,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,
xuxis2,,,,,,,,,,,4.064597658109106,,3.3765547554753295,,3.2619497065537417,,2.756847154383944,,,,,,,,,,
babb2011,,,,,,,,,,,,,,,,,,,,,,,,,,,
caprisome,,,,,,,,,,,,,,,,,,,,,,,,,,,
daily_something,2.5731200203724676,2.1373079813672047,,,,,,,,,1.8950132369856434,,,,,,,,,,,,,,,,
dlahrwl,,,,,,,,,,,5.032654550626223,,2.225288224011217,,,,,,,,,,,,,,
amelia421,,,,,,,,,,,,,,,,,,,,,,,,,,,
hyetaeng,,,,,,,,,,,,,,,,,,,,,,,,,,2.3214563453187678,
beautifuller,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssbling,3.4633008792251276,,,,,,,,,,4.168298335693809,,,0.0,,,4.299037543057627,,,,,,,,,,
sufreesia,,,,,,,,,,,2.347569686789548,,,,0.0,,0.0,,,,,,,,,2.074586943621671,
jidud030512,,,,,,,,,,,,,,,,,,,,,,,,,,,
mslink,,,,,,,,,,,0.0,,2.2055460400770674,,,,,,,,,,,,,,
hyey00n,,,,,,,,,,,,,,,,,,,,,,,,,,,
hoegod6004,3.9473235203996686,,,,,,,,,,,,3.6551513901751287,,,,2.7140310368262686,,,,,,,,,,
ewud09,,,,,,,,,,,,,4.1145907539672635,,,,,,,,,,,,,,
bolgorog,,,,,,,,,,,,,,,,,,,,,,,,,,,
masejin,,,,,,,,,,,,,4.2129973191221035,3.501317064572115,,,,,,,,,,,,,
seoji11,,,,,,,4.20625509891273,,,,5.29927176421651,4.475622089500972,0.0,,0.0,,0.0,,,,,,,,,5.299275797607462,
sophyhoney,,,,,,4.157327597280263,,,,,,,,,,,,,,,,,,,,,
oouoo4648,,,,,,,,,,,,,,,,,,,,,,,,,,,
maymay123,,5.063007963488634,,,,4.560284020106686,4.935071473873466,,,,5.006965875716545,,5.417396011273352,,5.067833660755024,,,,,,,,,,,5.717469943922514,
eunjxx_108,,,,,,,,,,,2.0624243100425472,,4.575398546965161,,,3.0574897170995348,,,,,,,,,,,
ddalgi11,3.3009995756287576,,,,,,,,,,0.0,3.5066548145912164,3.118943418219558,1.994950153780624,,3.4594718497658317,,,,,,,,,,2.7867768128790087,
nagi_729,,,,,,,,,,,,,,,,,,,,,,,,,,,
best4664,,,,,,,,,0.0,,0.0,,,,,,0.0,,,,,,,,,,
ringom0201,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,
justdoitming,,,,,,,,,,,,,,,,,,,,,,,,,,,
annau__u,,,,,,,,,,,,,,,,,,,3.0196848890592345,,,,,,,,
lhk8787,2.8435408056753833,,,,,,,,,,3.00177348258613,,,,,,,,,,,,,,,,
yelloww613,,,,,,,,,,,,,,,,,,,,,,,,,,,
s98soon,,4.366304733218624,,,,,3.599337332640038,2.8422011360991086,0.0,,4.4843818353708995,,0.0,5.998162624575147,,,5.622605516907818,,,,,,,,,,
raraann,,,,,,,,,,,,,,,,,,,,,,,,,,,
kee5538,,,,,,2.640840315596911,,,1.9256519711130238,,,,,,,,2.513835693755087,,,,,,,,,,
iamstar_,,,,,,,,,,,,,,,,,,,,,,,,,,,
kimsej88,,,,,,,,,,,,,,,,,,,,,,,,,,,
coco_9301,,,,,,,,,,,,,,,,,,,,,,,,,,,
jkhn4325,,,,,,,,,,,2.2831067716676587,,,,,,,,,,,,,,,,
hyewon_100588,,,,,,,,,,,,,,,,,,,,,,,,,,,
wndud8354,,,,,,,,,,,4.132079298650625,,3.3933280973440487,,,,3.272696108582525,,,,,,,,,,
sooyeon1202,,0.0,1.6865170292088503,,,,,,,,,2.7825484135187457,3.3233832277578585,,,,0.0,,,,,,,,,,
ddiamosho,,,,,,,0.0,,,,2.1655646630479626,,0.0,,0.0,,,,,,,,,,,,
mg-shin,,,,,,,,,,,,,,,,,,,,,,,,,,,
orangesirena,,,,,,,,,,,,,,,,,,,,,,,,,,,
hr2love,,,,,,,,,,,,,,,,,,,,,,,,,,6.588670604069083,
leehaksoon,2.9975873859450903,,,,,,,,,,,5.038861665966654,,3.8282364493852192,,,3.75331393362865,,,,,,,,,,
weiss2015,,,,,,3.215589990619837,,,,,,,3.269164943574311,,,,,,,,,,,,,,
kindness89,2.919172998810863,4.270590026134355,,,,2.1480151137596804,,,,,3.5317334044253905,,,,,,3.6069325116772952,,,,,,,,,,
lovmaria,,,,,,,,,,,4.915393243233439,4.555316112807374,4.38926610270081,3.6356067597358797,,4.140713904419209,5.343902403504363,3.4260434074638595,,,,,,,,,
pkloveletter,,,,,,,,,,,,,,,,,,,,,,,,,,,
hyunadoo,,,,,,,,,2.892569258030683,,,,,,,,,,,,,,,,,,
fbwogus123,2.7553924767941487,,,,,,,,,,,,2.655073101912051,,,,,,,,,,,,,,
hosoo881020,,,,,,,,,,,,,,,,,,,,,,,,,,,
silpid59,,,,,,,,,,,,,,,,,,,,,,,,,,,
limbomee,3.009844812857735,,,,,,2.9014279349567875,0.0,0.0,,3.324261203470119,,4.424910364514729,,,,,,,,,,,,,,
osa3532,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,
dailycindy,,,,,,,,,,,4.281626534774915,,3.7396000589854013,,,,,,,,,,,,,,
jo_penquin,,,,,,,,,,,,,,,,,,,,,,,,,,,
dbqkffodyd,1.3736340851033313,,,,,,,,,,1.8160905324923522,,,,,,,,3.8329490201646648,,,,,,,,
gomzzu,,,,,,,,,,,,,,,,,,,,,,,,,,,
flostars,,4.446732639409298,,,,,,,,,,,4.343346888432402,,3.1254850393415716,,,4.31296229498967,,,,,,,,,
hyghhu,,,,,,,,,,,5.36093669406096,,5.042264368611673,,4.575944239499642,,5.072194329729382,,,,,3.853815586861036,,,,0.0,
xkdidhqk11,,,,,,,,,,,,,,,,,,,,,,,,,,,
janus0618,,,,,,,4.372932827274369,3.9750742748987133,,,,,5.494411745729717,,,,,,,,,,,,,,
kkumiho,,,,,,,,,,,,,,,,,,,,,,,,,,,
mint_always,,,,,,,,,,,,,,,,,,,,,,,,,,,
seongminlove,3.1307971362535523,0.0,2.7264688906813905,,,0.0,3.5921090624876197,,0.0,,3.642988076931174,,,,,,4.751187631391034,5.980161561142082,,,,,,,,,
wkdwlgp94,,,,,,,,,,,,,,,,,3.9129106701391327,,,,,,,,,,
iso_sr,,,,,,,,,,,3.137522725507681,,0.0,,3.6973667971548405,,,,,,,,,,,,
hbj0128,,,,,,,,,,,0.0,2.602847456710278,,,,,3.484864072735556,,,,,,,,,,
kbr0222,,,,,,,,,,,,,,,,,,,,,,,,,,,
whrnjs4225,,,,,,,,,,,,,,,,,,,,,,,,,,,
hhhh2346,,,,,,,,,,,,,,,,,,,,,,,,,,,
skqusrudals12,,,,,,,,,,,,,,,,,,,,,,,,,,,
crt4658,,,,,,,,,,,,,,,,,4.0052478696022575,,,,,,,,,,
missj0322,,,,,,,,,,,,,,,,,,,,,,,3.945622230792238,,,2.086066415822901,
dgnmm123,,,,,,,,,,,,,,,,,,,,,,,,,,,
cyaflower,3.18153342783523,,,,,,,,,,3.6135650512814887,,,,,,,,,,,,,,,,
yaimn,,,,,,,,,,,,,,,,,,,,,,,,,,,
77ended,0.0,,,,,,,,,,,,0.0,,,,0.0,,,,,0.0,2.756506746147908,,,3.5868755222572686,
vividyg,,,,,,,,,,,3.0688707700263156,,,,,,2.536902442919758,4.236049461254321,,,,,,,,,
hopuhope,,,,,,,,,,,,,,,,,,,,,,,,,,,
gowjd1223,,,,,,,,,,,3.621719905267345,,,,,,,,,,,,,,,,
vjdud1222,,,,,,,,,,,,,,,5.09366797932954,,,,,,,,,,,,
kiho1030,,,,,,,,,,,,,,,,,,,,,,,,,,,
damor1208,,,,,,,,,,,,,,,,,,,,,,,,,,,
chry6295,,,,,,,,,,,,,,,,,,,,,,,,,,,
daaah5,,,,,,,,,,,,,,,,,,,,,,,,,,,
05017491,,,,,,,,,3.086397268150296,,3.2045426312374357,,,,,,,,,,,,,,,,
ghkdwjddo202,,,,,,,,,,,,,,,,,,,,,,,,,,,
420dussssu,,,,,,,,,,,,,,,,,,,,,,,,,,,
d_hye97,,,,,,,,,,,,,,,0.0,,,,,,,,,,,3.19334730025896,
hwawoorok,,,,,,,,,,,,,,,,,,,,,,,,,,,
rizotto1,,,,,,2.103489553934715,,,,,,,,,,,,,,,,,,,,,
ilov2h5691,,,,,,,,,,,,,,,,,,,,,,,,,,,
jjanga1919,,,,,,,,,2.908943880625044,0.0,,,0.0,,,,,,,,,,,,,,
purplebora1018,,,,,,,,,,,3.141909786872456,,,,,,,,,,,,,,,,
lhr0905,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,
thxjamie365,,,,,,,,,,,,,,,,,,,,,,,,,,,
bebe9820,,,,,,,,,,,,,,,,,,,,,,,,,,,
hark739,,3.189884657231453,,,,,3.2091555059613226,,,,3.0475910911559057,,0.0,5.841304957691408,,,3.3364479197173154,,,,,,,,,0.0,
clamsh,3.0077731628169526,,,,,,,,,,2.9265118004459403,,,,,,,,,,,,,,,,
sjsj_kim0228,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
pm0146,2.9822527991289416,,,,,,,,,,,,3.159476813792537,,,,,4.3303898975490895,,,,,,,,,
xo-elliott,,,,,,,,,,,,,3.186421234787696,,,,0.0,,,,,,,,,,
seven-queen,1.9648893803903689,,,,,,,,,,0.0,,3.14119057858858,,,,3.535237650574052,,,,,,,,,,
jdbri1130,,,,,,,,,,,,,,,,,,,,,,,,,,,
marilyn1,,,,,,,,,,,,,,,,,,,,,,,,,,,
tnalalstn,,2.8894735219469707,,,,0.0,0.0,,1.8616999190750478,,3.1326566982054076,2.4670657178057604,2.442006425937759,,,,3.6705817555701667,,,,,,,,,,
odri1998,,,,,,,,,,,,,,,,,,,,,,,,,,,
shinegirl05,,,,,,,3.336117157009312,,,,4.725249348606929,,,,4.341080792607249,,,,,,,,,,,,
good_coco,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,
jieun2468jieun,,,,,,,,,,,,,,,,,,,,,,,,,,,
x_x0319,,,,,,,,,,,,,,,,,,,,,,,,,,,
ton53,,,,,,,,,,,,,,,,,,,,,,,,,,,
xkralswo,,,,,,,,,,,,,,,,,,,,,,,,,,,
k_sr0609,,,,,,,,,,,,,,,,,,,,,,,,,,,
momokko,,,,1.5250062633913377,,,,,,,0.0,,,,,,,2.849507057159814,,,,,,,,,
ha5807,0.0,0.0,,,,,,,,,0.0,,0.0,0.0,,,0.0,,,,,,0.0,,,0.0,
nova007,,,,,,,,,,,3.039140896076354,,,,,,,,,,,,,,,,
gkffhzz,,,,,,,,,,,,,,,,,,,,,,,,,,,
alsmekwyd,,,,,,,,,,,,,,,,,,,,,,,,,,,
musicalyoon,,,,,,,,,,,,,,,,,,,,,,,,,,,
tinynova,0.0,,,,,1.8478709806383873,0.0,,2.7834922222563083,,3.1928692391442137,,2.947863245712885,,,,0.0,,0.0,,,3.7987854825224083,,,,,
py2389,,,,,,,,,,,,,,,,,,,,,,,,,,,
gng6679,,,,,,,,,,,3.4469081113125397,,4.1869386822383055,,,,4.385469509935125,,,,,,,,,,
kbearp,,,,,,,,,,,,,,,,,5.917421803705059,,,,,,,,,,
ksbeen0709,,,,,,,,,,,,,,,,,,,,,,,,,,,
nam59887,,,,,,,,,,,,,,,,,,,,,,,,,,,
jujuyeong,,,,,,,,,,,,,,,,,,,,,,,,,,,
zzeeun,,,,,,,,,,,,,4.233942063274471,,,,,,,,,,,,,,
hwp1209,,,,,,,,,,,,,3.3754082979662705,,,,0.0,,,,,,,,,,
zellove12,,,,,,,,,,,4.049123786376575,,5.348083744197848,,4.057253896052629,,5.359752181077237,,,,,,,,,,
soulmate1983,,,,,,,,,,,,,3.016932080954813,,,,,,,,,,,,,,
sesirlis,3.9465274708305484,0.0,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,
dnjswns15,,,,,,,,,,,,,,,,,,,,,,,,,,,
glassr,,,,,,,,,,,4.228331523039594,,,,,,,,,,,,,,,,
sihyukumma14,,,,,,,,,,,,,,,,,,,,,,,,,,,
yu_jin0415,,,,,,,,,,,,,,,,,,,,,,,,,,,
wjddms0305,,,,,,,,,,,3.0010479833142307,,,3.5939109133808476,,,,,,,,,,,,4.243325438259874,
o_live_you,,,,,,,,,,,,,,,,,,,,,,,,,,,
u_ulla,0.0,,,,,,,,3.1787937864982547,,4.065378443317876,0.0,3.109750373198004,,,,3.5053434320677743,,,,,,,,,,
rhdnsnl88,,,,,,,,,,,0.0,,,,0.0,,2.2312180991086614,,,,,,,,,,
rain8200,,,,,,,,,,,2.8904819872216834,3.968782494638676,2.8237212517204817,,,,2.8187806544744545,,,,,,,,,,
lovebookn,,,,,,,,,,,,,,,,,,,,,,,,,,,
kej727_2,,,,,,,,,,,4.106383219205436,,,,,,,4.080924976147806,,,,,,,,,
sj1229,,2.3031987267585587,,,,,,,,,,,,0.0,2.349521236396785,,,,,,,,,,,,
takaraa,,,,,,,,,,,,,,,,,,,,,,,,,,,
wlsdud8607,,,,,,,,,,,,,,,,,,,,,,,,,,,
base02014,,,,,,,,,,,,,,,,,,,,,,,,,,,
bluesoso,,,,,,,,,,,,,,,,,2.4692263822196403,,,,,,,,,,
alfk8195,,,,,,,,,,,4.328479288959993,,,,,,,,,,,,,,,,
dudfla6771,,,,,,,,,,,,,,,,,,,,,,,,,,,
yej45864586,,,,,,,,4.225505910101116,,,3.0768412847303996,2.9942330920679465,2.873990016387671,,3.256480378947076,2.258575691041398,4.18483591213825,,,,,,,,,,
njmjjang,,,,,,,,,,,,,,,,,,,,,,,,,,,
lostpola79,,,,,,,,,,,,,,0.0,,,3.670769208281702,,,,,,,,,,
lui14won,0.0,,,,,,,,0.0,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,
sdsd0536,,,,,,,,,,,,,,,,,,,,,,,,,,,
darksea02,2.876502645535397,,,,,,,,,0.0,2.961442774919292,,3.3289697141202925,2.7845256605054636,2.9546830640083224,,,4.07101894878697,,,,,,,,,
ty_hwang,,,,,,,,,,,,,,,4.158280653553314,,,,,,,,,,,,
thdud261,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,
ceoseri,3.245451370426726,,,,,,,,,4.1517870696441115,4.607185584187379,3.0514057394964866,3.7281449995790514,3.775977925460448,,4.130632930406826,3.5935892598649137,3.9868294482183253,0.0,,,0.0,,,,,
bo_angel,3.919941355668581,,4.393362333450203,,,,,,5.1733738933194475,3.905207589952975,4.297088940522776,,5.644461485116273,,,,,,,,,,,,,,
fairyasrai,,,,,,,,,,,3.12168137023431,,,,,,,,,,,,,,,,
ellew4902,,,,,,,,,,,,,,,,,,,,,,,,,,,
kafer,2.9180999118698514,,,,,,,,,,,,,,,,,,,,,,,,,,
quf4147,,,,,,,,,,,,,3.621784106539968,,,,,,,,,,,,,,
kies1614,0.0,0.0,,,,,,,,,,,,3.0154840598584753,,,,,,,,,,,,,
hellomini486,,,,,,,,,,,,,,,,,,,,,,,,,,4.501293743438144,
ri_nyy,,,,,,,,,,,3.0656191840556892,,,,,,,,,,,,,,,,
lamoon12,,,,,,,,,,,,,,,,,,,,,,,,,,,
nadaumii,,,,,,,,,,,,,,,,,3.228970137377071,,,,,,,,,3.2665486189479047,
zizimi89,,,,,,,,,,,,,,,,,,5.217524501509607,,,,,,,,,
mkr4223,,,,,,,,,,,0.0,,,0.0,,,2.661812339570304,,,,,,,,,,
xogh0147,,,,,,,,,,,,,,3.810565622058325,,,,,,,,,,,,,
sji_eun,,,,,,,,,,,,,,3.6518202360338883,,,,,,,,,,,,,
lillian1216,,,,,,,,,,,,,,,,,,,,,,,,,,,
hongtaigne,,,,,,2.7798357052107296,,,,,3.4489559246535033,,,,,,,,,,,,,,,,
lizela87,,,,,,,,,,,,,,,,,,,,,,,,,,,
cm0103,,,,,,,,,,,,,,3.6181695973763537,,,,,,,,,,,,,
yunkmink,,,,,,,,,,,,,,,,,,,,,,,,,,,
rudals9703,,,,,,,,,,,,,,,,,,,,,,,,,,,
lin100,,3.188598826249993,,,,,,,,,,,,,,,,,,,,,,,,,
xuanwo,,,,,,,,,,,,,,2.649560298526713,,,,,,,,,,,,,
pure_yeong0,,,,,,4.141037745487354,,,,,3.606220047440479,,4.1168016215163075,2.9018186841343816,3.210674391993498,,3.5451285533450645,,,,,,,,,,
disguise_126,1.6086001730547421,,,,,,,,1.8031175514848061,,2.0535601920897895,,,,,,,,,,,,,,,,
kjtpntn,,,,,,,,,,,,,,,,,,,,,,,,,,,
